Date,Open,High,Low,Close,Adj Close,Volume
2018-12-01,40.570000,40.580002,29.590000,32.110001,31.599047,165850500
2019-01-01,31.459999,37.080002,28.809999,35.770000,35.200802,212732200
2019-02-01,35.770000,37.230000,34.770000,35.630001,35.063034,128453000
2019-03-01,35.580002,35.959999,29.969999,31.760000,31.339825,152767200
2019-04-01,31.980000,35.240002,31.700001,34.180000,33.727806,128667400
2019-05-01,34.299999,34.900002,27.110001,27.230000,26.869753,133158400
2019-06-01,27.120001,33.810001,27.020000,32.610001,32.271446,124909600
2019-07-01,33.139999,34.990002,30.209999,30.510000,30.193247,128999900
2019-08-01,30.430000,30.570000,24.230000,26.309999,26.036852,168599300
2019-09-01,26.160000,30.340000,25.950001,26.969999,26.783880,141809000
2019-10-01,27.080000,31.670000,24.510000,30.059999,29.852554,193264300
2019-11-01,30.299999,31.580000,27.840000,28.740000,28.541664,115120700
2019-12-01,28.790001,29.809999,26.680000,28.680000,28.574404,133826900
2020-01-01,28.980000,29.299999,25.370001,26.840000,26.741179,226705600
2020-02-01,26.930000,30.780001,18.770000,19.049999,18.979858,262905900
2020-03-01,19.049999,19.790001,10.010000,12.190000,12.190000,1304401000
2020-04-01,11.450000,13.400000,9.090000,12.010000,12.010000,1750440700
2020-05-01,11.410000,12.550000,8.250000,10.500000,10.500000,1374266000
2020-06-01,10.790000,22.799999,10.620000,13.070000,13.070000,3103539000
2020-07-01,13.480000,14.290000,10.800000,11.120000,11.120000,1632046000
2020-08-01,11.070000,15.100000,10.710000,13.050000,13.050000,1490615900
2020-09-01,12.860000,14.160000,11.220000,12.290000,12.290000,1199512900
2020-10-01,12.450000,13.680000,10.630000,11.280000,11.280000,1349366200
2020-11-01,11.320000,15.560000,10.870000,14.130000,14.130000,1700021700
2020-12-01,14.420000,18.629999,13.850000,15.770000,15.770000,1859647300
2021-01-01,15.850000,21.770000,14.710000,17.170000,17.170000,1444224200
2021-02-01,17.250000,22.440001,16.330000,20.940001,20.940001,892994900
2021-03-01,21.750000,26.090000,18.940001,23.900000,23.900000,1077197000
2021-04-01,24.020000,24.850000,19.639999,21.719999,21.719999,740659000
2021-05-01,21.870001,24.820000,20.620001,24.240000,24.240000,675687600
2021-06-01,24.680000,26.040001,20.940001,21.209999,21.209999,617245100
2021-07-01,21.469999,22.160000,18.280001,20.379999,20.379999,687318800
2021-08-01,20.490000,21.490000,18.290001,19.940001,19.940001,645704700
2021-09-01,20.010000,22.190001,18.639999,20.520000,20.520000,684885900
2021-10-01,21.000000,22.080000,18.850000,19.200001,19.200001,574168900
2021-11-01,19.090000,22.350000,16.900000,17.690001,17.690001,715400700
2021-12-01,17.940001,18.870001,16.150000,17.959999,17.959999,899699400
